Metric,Train,Test
Accuracy,0.9994192799070848,0.9698375870069605
Precision,0.999421496395989,0.9699945371174686
Recall,0.9994192799070848,0.9698375870069605
F1-Score,0.9994193503475051,0.9697182834303683
